Date,YEAR,TIME,INCIDENT #,Officer,Command Review,Stop & Frisk,BEAT,Address,OFFENSE,Arrest,WEAPONS,INVSTATUS,AGE,AGE RANGE,RACE,SEX,NAME CODE,AUTHORITY,Dispatched/Self Initiated,SFTYPE,MONTH
2013-09-11,2013,2152,201305283,77,NA,STOP WITH SEARCH OR FRISK,C21,600 PROSPECT AVE,Traffic Stop,no,No,INAS,19,18 - 24,B,M,OF,All Other,S,STOP WITH SEARCH OR FRISK,NA
2013-09-11,2013,2152,201305283,77,NA,STOP WITH SEARCH OR FRISK,C21,600 PROSPECT AVE,Traffic Stop,no,No,INAS,19,18 - 24,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2013-09-13,2013,1929,201305344,69,NA,STOP WITH SEARCH OR FRISK,C06,100 FOREST ST,Traffic Stop,no,No,INAS,21,18 - 24,B,M,IO,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2013-09-27,2013,1916,201305684,77,NA,STOP WITH SEARCH OR FRISK,C12,1200 6TH ST SE,Narcotic Investigation,Summons Issued for marijuana,No,CBAD,24,18 - 24,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2013-09-27,2013,1916,201305684,77,NA,STOP WITH SEARCH OR FRISK,C12,1200 6TH ST SE,Narcotic Investigation,Summons Issued for marijuana,No,CBAD,25,25 - 34,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2013-09-27,2013,1916,201305684,77,NA,STOP WITH SEARCH OR FRISK,C12,1200 6TH ST SE,Narcotic Investigation,no,No,CBAD,25,25 - 34,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2013-10-01,2013,2041,201305781,87,NA,STOP WITH SEARCH OR FRISK,C11,422 GARRETT ST,Liquor Law Violation,no,No,INAS,34,25 - 34,B,M,OF,Incident to Arrest,D,STOP WITH SEARCH OR FRISK,NA
2013-10-17,2013,1638,201306148,87,NA,STOP WITH SEARCH OR FRISK,C10,1400 VINE ST,Traffic/Parking,no,Gun,INAS,50,45 - 54,W,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2013-10-24,2013,2213,201306302,77,NA,STOP WITH SEARCH OR FRISK,C18,2000 BARRACKS RD,Traffic Stop,no,No,INAS,51,45 - 54,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2013-11-08,2013,1930,201306647,87,NA,STOP WITH SEARCH OR FRISK,C12,500 1ST ST S,Suspicious,no,No,INAS,18,18 - 24,W,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2013-11-22,2013,2140,201306935,69,NA,STOP WITH SEARCH OR FRISK,C05,200 8TH ST NW,Traffic Stop,no,No,INAS,18,18 - 24,B,M,OF,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2013-11-30,2013,1957,201307046,69,NA,STOP WITH SEARCH OR FRISK,C13,700 PROSPECT AVE,Narcotic Investigation,Arrested on a outstanding warrant,No,CBAD,22,18 - 24,B,M,OF,Incident to Arrest,S,STOP WITH SEARCH OR FRISK,NA
2013-11-30,2013,1957,201307046,69,NA,STOP WITH SEARCH OR FRISK,C13,700 PROSPECT AVE,Narcotic Investigation,no,No,CBAD,43,35 - 44,B,M,IO,Consent,S,STOP WITH SEARCH OR FRISK,NA
2013-12-21,2013,2000,201307462,87,NA,STOP WITH SEARCH OR FRISK,C11,414 GARRETT ST,Weapons Law Violation,no,Gun,INAS,51,45 - 54,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2013-12-29,2013,2017,201307566,35,NA,STOP WITH SEARCH OR FRISK,C27,2000 BARRACKS RD,Traffic Stop,no,No,INAS,21,18 - 24,B,M,OF,All Other,S,STOP WITH SEARCH OR FRISK,NA
2014-02-10,2014,1643,201400764,35,NA,STOP WITH SEARCH OR FRISK,C10,900 S 1ST ST,Traffic Stop,no,No,INAS,36,35 - 44,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2014-02-12,2014,5,201400789,77,NA,STOP WITH SEARCH OR FRISK,C13,510 7 1/2 ST SW,Narcotic Investigation,no,No,CBAD,25,25 - 34,B,M,OF,PC/Reasonable Suspicion,D,STOP WITH SEARCH OR FRISK,NA
2014-02-12,2014,5,201400789,77,NA,STOP WITH SEARCH OR FRISK,C13,510 7 1/2 ST SW,Narcotic Investigation,no,No,CBAD,27,25 - 34,B,M,OF,PC/Reasonable Suspicion,D,STOP WITH SEARCH OR FRISK,NA
2014-02-12,2014,5,201400789,77,NA,STOP WITH SEARCH OR FRISK,C13,510 7 1/2 ST SW,Narcotic Investigation,no,No,CBAD,35,35 - 44,B,F,OF,PC/Reasonable Suspicion,D,STOP WITH SEARCH OR FRISK,NA
2014-02-20,2014,1630,201400935,69,NA,STOP WITH SEARCH OR FRISK,C13,828 CHERRY AVE,Traffic Stop,Summons Issued for Traffic Violations,No,CBAD,23,18 - 24,B,M,OF,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2014-03-08,2014,2241,201401236,69,NA,STOP WITH SEARCH OR FRISK,C06,601 PRESTON AVE,Traffic Stop,Summons Issued for Marijuana,No,CBAD,26,25 - 34,B,M,OF,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2014-03-10,2014,1100,201401253,97,NA,STOP WITH SEARCH OR FRISK,C10,700 RIDGE ST,Traffic Stop,Summons Issued for Traffic Violations,No,INAS,28,25 - 34,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2020-03-10,2014,1310,201401256,97,NA,STOP WITH SEARCH OR FRISK,C01,101 E MARKET ST,Disorder,no,No,INAS,43,35 - 44,B,M,IO,PC/Reasonable Suspicion,D,STOP WITH SEARCH OR FRISK,NA
2014-03-26,2014,2139,201401549,77,NA,STOP WITH SEARCH OR FRISK,C13,1000 FOREST HILLS,Traffic Stop,Warning Issued for Traffic Violation,No,INAS,22,18 - 24,B,M,OF,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2014-03-28,2014,1413,201401592,37,NA,STOP WITH SEARCH OR FRISK,C06,700 HARRIS ST,Traffic Stop,no,No,INAS,48,45 - 54,B,M,IO,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2014-04-12,2014,345,201401912,50,NA,STOP WITH SEARCH OR FRISK,C12,221 DICE ST,Suspicious,no,Gun,INAS,22,18 - 24,B,M,OF,Consent,D,STOP WITH SEARCH OR FRISK,NA
2014-04-15,2014,1607,201401997,86,NA,STOP WITH SEARCH OR FRISK,C14,2313 FONTAINE AVE,Traffic Stop,Summons Issued for Traffic Violation,No,INAC,25,25 - 34,B,F,OF,Consent,D,STOP WITH SEARCH OR FRISK,NA
2014-04-16,2014,2122,201402029,69,NA,STOP WITH SEARCH OR FRISK,C13,100 CRISPELL DR,Traffic Stop,Summons Issued for Traffic Violations,No,CBAD,21,18 - 24,B,M,IO,Consent,S,STOP WITH SEARCH OR FRISK,NA
2014-04-20,2014,325,201402095,118,NA,STOP WITH SEARCH OR FRISK,C16,117 ELLIEWOOD AVE,Disorder,Summons Issued for Marijuana,No,CBAD,18,18 - 24,W,M,OF,PC/Reasonable Suspicion,D,STOP WITH SEARCH OR FRISK,NA
2014-04-27,2014,2305,201402272,50,NA,STOP WITH SEARCH OR FRISK,C20,1701 CHESAPEAKE ST,Shots-Fired,no,Gun,ACTW,43,35 - 44,B,F,IO,Consent,D,STOP WITH SEARCH OR FRISK,NA
2014-05-03,2014,38,201402376,69,NA,STOP WITH SEARCH OR FRISK,C05,700 WEST ST,Traffic Stop,Summons Issued for Traffic Violations,Gun,CBAD,23,18 - 24,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2014-05-04,2014,2343,201402394,21,NA,STOP WITH SEARCH OR FRISK,C21,726 PROSPECT AVE,Suspicious,no,No,INAS,28,25 - 34,B,M,IO,Consent,S,STOP WITH SEARCH OR FRISK,NA
2014-05-12,2014,1800,201402582,87,NA,STOP WITH SEARCH OR FRISK,C10,1625 MERIDIAN ST,Suspicious,no,no,INAS,54,45 - 54,W,M,IO,Consent,S,STOP WITH SEARCH OR FRISK,NA
2014-05-22,2014,2342,201402797,95,NA,STOP WITH SEARCH OR FRISK,C04,900 PAGE ST,Suspicious,no,No,INAS,23,18 - 24,B,M,IO,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2014-06-04,2014,2309,201403064,77,NA,STOP WITH SEARCH OR FRISK,C13,501 5TH ST SW,Trespass,no,No,INAS,50,45 - 54,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2014-06-04,2014,1853,201403059,69,NA,STOP WITH SEARCH OR FRISK,C13,828 CHERRY AVE,Narcotic Investigation,Summons Issued for Marijuana,No,CBAD,20,18 - 24,B,M,OF,Consent,S,STOP WITH SEARCH OR FRISK,NA
2014-06-04,2014,1600,201403054,87,NA,STOP WITH SEARCH OR FRISK,C10,1400 HAMPTON ST,Narcotic Investigation,no,No,INAS,38,35 - 44,B,M,IO,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2014-06-12,2014,2237,201403242,69,NA,STOP WITH SEARCH OR FRISK,C12,932 S 1ST ST,Narcotic Investigation,Summons Issued for Marijuana,No,CBAD,19,18 - 24,B,M,OF,PC/Reasonable Suspicion,S,STOP WITH SEARCH OR FRISK,NA
2014-06-14,2014,1608,201403251,37,NA,STOP WITH SEARCH OR FRISK,C10,1114 ELLIOT AVE,Traffic Stop,Summons Issued for Traffic Violations,No,INAS,31,25 - 34,B,M,OF,All Other,S,STOP WITH SEARCH OR FRISK,NA
2012-07-26,2012,1310,201204518,76,NO ACTION,NA,C02,415 E MAIN ST,Larceny,no,No,EXCB,26,25 - 34,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,July
2012-07-28,2012,2240,201204589,49,NO ACTION,NA,C12,308 RIDGE ST,Liquor Law Violation,open container of alcohol,No,CBAD,34,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,July
2012-08-03,2012,150,201204729,45,NO ACTION,NA,C01,123 E MAIN ST,Assault,no,No,INAS,25,25 - 34,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-04,2012,1331,201204758,62,NO ACTION,NA,C10,226 HARTSMANS MILL RD,Trespass,no,No,INAA,31,25 - 34,B,F,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-04,2012,1331,NA,62,NO ACTION,NA,C10,226 HARTSMANS MILL RD,Trespass,no,No,INAA,37,35 - 44,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-04,2012,2228,201204747,69,NO ACTION,NA,C15,1407 UNIVERSITY AVE,Mo Mohr Transport,no,No,INAS,57,55 - 67,B,M,OF,PD Transport,S,Search WITHOUT Stop-Frisk,Aug
2012-08-08,2012,2245,201204843,45,NO ACTION,NA,C09,1221 E MARKET ST,VANDALISM,no,No,INAA,36,35 - 44,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-08,2012,2245,201204843,45,NO ACTION,NA,C09,1221 E MARKET ST,VANDALISM,no,No,INAA,47,45 - 54,W,M,IO,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-08,2012,245,201204825,91,NO ACTION,NA,C16,801 DALE AVE,Disorder,summons for disorderly conduct,No,CBAD,43,35 - 44,B,F,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-14,2012,1148,201204929,56,NO ACTION,NA,C03,320 W MAIN ST,PURSE SNATCHING,no,No,EXCB,25,25 - 34,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-17,2012,10,201204998,69,NO ACTION,NA,C04,816 HARDY DR,Trespass,no,No,INAS,19,18 - 24,B,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Aug
2012-08-18,2012,24,201205011,69,NO ACTION,NA,C05,100 MINOR CT,DIP,no,No,INAS,22,18 - 24,W,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Aug
2012-08-22,2012,1150,201205114,56,NO ACTION,NA,C22,542 CLEVELAND AVE,Trespass,no,No,INAA,21,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-22,2012,1150,201205114,56,NO ACTION,NA,C22,542 CLEVELAND AVE,Trespass,no,No,INAA,22,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-22,2012,1150,201205114,56,NO ACTION,NA,C22,542 CLEVELAND AVE,Trespass,no,No,INAA,23,18 - 24,B,F,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-22,2012,1853,201205120,92,NO ACTION,NA,C10,1200 6TH ST SE,Suspicious,no,No,INAS,18,18 - 24,B,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Aug
2012-08-25,2012,2347,201205194,69,NO ACTION,NA,C01,109 2ND ST SE,Disorder,no,No,INAS,20,18 - 24,B,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Aug
2012-08-27,2012,943,201205218,76,NO ACTION,NA,C02,112 W MARKET ST,Suspicious,no,No,INAS,23,18 - 24,B,M,IO,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-29,2012,2159,201205293,69,NO ACTION,NA,C16,1207 GRADY AVE,Larceny,no,No,INAS,29,25 - 34,B,M,IO,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-30,2012,2333,201205294,319,NO ACTION,NA,C10,1800 MONTICELLO RD,Liquor Law Violation,no,No,INAS,22,18 - 24,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-30,2012,2333,201205294,319,NO ACTION,NA,C10,1800 MONTICELLO RD,Liquor Law Violation,no,No,INAS,37,35 - 44,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-30,2012,2333,201205294,319,NO ACTION,NA,C10,1800 MONTICELLO RD,Liquor Law Violation,no,No,INAS,42,35 - 44,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-30,2012,2333,201205294,319,NO ACTION,NA,C10,1800 MONTICELLO RD,Liquor Law Violation,no,No,INAS,50,45 - 54,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-31,2012,10,201205321,69,NO ACTION,NA,C15,412 GARRETT ST,Liquor Law Violation,no,No,CBAD,23,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-31,2012,10,201205321,69,NO ACTION,NA,C15,412 GARRETT ST,Liquor Law Violation,no,No,CBAD,24,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-31,2012,10,201205321,69,NO ACTION,NA,C15,412 GARRETT ST,Liquor Law Violation,Summons for Trespassing,No,CBAD,25,25 - 34,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-31,2012,2252,201205351,319,NO ACTION,NA,C08,1341 LONG ST,Trespass,no,No,INAS,21,18 - 24,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-31,2012,2252,201205351,319,NO ACTION,NA,C08,1341 LONG ST,Trespass,no,No,INAS,21,18 - 24,W,F,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-08-31,2012,100,201205323,80,NO ACTION,NA,C16,500 RUGBY RD,Disorder,Arrested for Disordly Conduct,No,CBAD,58,55 - 64,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Aug
2012-09-07,2012,449,201205514,85,NO ACTION,NA,C16,515 RUGBY RD,Trespass,no,No,INAS,31,25 - 34,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Sept
2012-09-14,2012,2300,201205688,86,NO ACTION,NA,C11,400 GARRETT SQUARE,Trespass,no,No,INAS,21,18 - 24,B,M,OF,Consent,S,Search WITHOUT Stop-Frisk,Sept
2012-09-14,2012,2300,201205688,86,NO ACTION,NA,C11,400 GARRETT SQUARE,Trespass,no,No,INAS,22,18 - 24,B,M,OF,Consent,S,Search WITHOUT Stop-Frisk,Sept
2012-09-14,2012,2300,201205688,86,NO ACTION,NA,C11,400 GARRETT SQUARE,Trespass,no,No,INAS,20,18 - 24,W,F,OF,Consent,S,Search WITHOUT Stop-Frisk,Sept
2012-09-16,2012,1912,201205761,86,NO ACTION,NA,C03,401 4TH ST NW,Suspicious,no,No,INAS,48,45 - 54,W,M,OF,Consent,S,Search WITHOUT Stop-Frisk,Sept
2012-09-23,2012,120,201205930,79,NO ACTION,NA,C03,1003 W MAIN ST,Assault,no,No,ACTW,18,18 - 24,B,M,IO,Consent,D,Search WITHOUT Stop-Frisk,Sept
2012-09-23,2012,120,201205930,79,NO ACTION,NA,C03,1003 W MAIN ST,Assault,no,No,ACTW,18,18 - 24,B,M,IO,Consent,D,Search WITHOUT Stop-Frisk,Sept
2012-09-23,2012,120,201205930,79,NO ACTION,NA,C03,1003 W MAIN ST,Assault,no,No,ACTW,20,18 - 24,B,M,IO,Consent,D,Search WITHOUT Stop-Frisk,Sept
2012-09-23,2012,120,201205930,79,NO ACTION,NA,C03,1003 W MAIN ST,Assault,no,No,ACTW,20,18 - 24,B,M,IO,Consent,D,Search WITHOUT Stop-Frisk,Sept
2012-09-23,2012,120,201205930,79,NO ACTION,NA,C03,1003 W MAIN ST,Assault,no,No,ACTW,21,18 - 24,B,M,IO,Consent,D,Search WITHOUT Stop-Frisk,Sept
2012-09-23,2012,125,201205931,303,NO ACTION,NA,C02,313 2ND ST SE,Assault,no,No,EXCD,25,25 - 34,B,M,OF,Consent,S,Search WITHOUT Stop-Frisk,Sept
2012-09-23,2012,125,201205931,303,NO ACTION,NA,C02,313 2ND ST SE,Assault,no,No,EXCD,25,25 - 34,B,M,OF,Consent,S,Search WITHOUT Stop-Frisk,Sept
2012-09-23,2012,120,201205930,79,NO ACTION,NA,C03,1003 W MAIN ST,Assault,no,No,ACTW,UKN,UKN,B,M,OF,Consent,D,Search WITHOUT Stop-Frisk,Sept
2012-09-24,2012,1410,201205961,60,NO ACTION,NA,C01,200 E WATER ST,Suspicious,no,No,INAS,22,18 - 24,B,M,OF,Consent,D,Search WITHOUT Stop-Frisk,Sept
2012-09-24,2012,1410,201205961,60,NO ACTION,NA,C01,200 E WATER ST,Suspicious,no,No,INAS,23,18 - 24,B,F,OF,Consent,D,Search WITHOUT Stop-Frisk,Sept
2012-10-14,2012,1910,201206437,75,NO ACTION,NA,C01,100 3RD ST SE,Suspicious,no,No,INAS,23,18 - 24,B,M,OF,Consent,S,Search WITHOUT Stop-Frisk,Oct
2012-10-18,2012,1643,201206526,92,NO ACTION,NA,C02,500 E MARKET ST,Assist Agency,no,No,INAC,39,35 - 44,W,M,IO,Consent,D,Search WITHOUT Stop-Frisk,Oct
2012-10-22,2012,1711,201206647,76,NO ACTION,NA,C01,501 E WATER ST,Disorder,no,No,INAS,42,35 - 44,W,M,IO,Consent,D,Search WITHOUT Stop-Frisk,Oct
2012-10-31,2012,1550,201206855,86,NO ACTION,NA,C33,500 HARRIS RD,Disorder,no,No,ACTW,34,25 - 34,B,F,IO,Consent,S,Search WITHOUT Stop-Frisk,Oct
2012-11-02,2012,2059,201206911,319,NO ACTION,NA,C04,100 WEST ST,Disorder,no,No,INAN,41,35 - 44,B,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Nov
2012-11-03,2012,2350,201206915,79,NO ACTION,NA,C04,834 HARDY DR,Assault,no,No,INAA,19,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Nov
2012-11-04,2012,924,201206945,132,NO ACTION,NA,C02,801 E MARKET ST,Mo Mohr Transport,no,No,INAC,52,45 - 54,W,M,IO,PD Transport,S,Search WITHOUT Stop-Frisk,Nov
2012-11-04,2012,1358,201206950,76,NO ACTION,NA,C10,1206 CARLTON AVE,Mo Mohr Transport,no,No,INAA,55,55 - 64,W,M,OF,PD Transport,D,Search WITHOUT Stop-Frisk,Nov
2012-11-12,2012,1443,201207139,76,NO ACTION,NA,C23,700 PROSPECT AVE,Trespass,no,No,INAS,25,25 - 34,B,M,IO,All Other,D,Search WITHOUT Stop-Frisk,Nov
2012-11-13,2012,2210,201207172,75,NO ACTION,NA,C01,235 W MAIN ST,Liquor Law Violation,summons underage possession of alcohol,No,CBAD,20,18 - 24,W,M,IO,Consent,D,Search WITHOUT Stop-Frisk,Nov
2012-11-13,2012,2210,201207172,75,NO ACTION,NA,C01,235 W MAIN ST,Liquor Law Violation,no,No,CBAD,20,18 - 24,W,M,IO,Consent,D,Search WITHOUT Stop-Frisk,Nov
2012-11-13,2012,2210,201207172,75,NO ACTION,NA,C01,235 W MAIN ST,Liquor Law Violation,no,No,CBAD,21,18 - 24,W,F,IO,Consent,D,Search WITHOUT Stop-Frisk,Nov
2012-11-19,2012,1925,201207304,77,NO ACTION,NA,C13,336 71/2 ST SW,Trespass,no,No,INAS,51,45 - 54,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Nov
2012-11-27,2012,1501,201207449,76,NO ACTION,NA,C11,400 GARRETT ST,Suspicious,no,No,INAS,19,18 - 24,B,M,OF,Consent,D,Search WITHOUT Stop-Frisk,Nov
2012-11-27,2012,1501,201207449,76,NO ACTION,NA,C11,400 GARRETT ST,Suspicious,no,No,INAS,21,18 - 24,B,M,OF,Consent,D,Search WITHOUT Stop-Frisk,Nov
2012-11-27,2012,1501,201207449,76,NO ACTION,NA,C11,400 GARRETT ST,Suspicious,no,No,INAS,24,18 - 24,B,M,OF,Consent,D,Search WITHOUT Stop-Frisk,Nov
2012-11-27,2012,1400,201207447,76,NO ACTION,NA,C03,500 W MAIN ST,Suspicious,no,No,INAS,31,25 - 34,B,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Nov
2012-11-27,2012,1501,201207449,76,NO ACTION,NA,C11,400 GARRETT ST,Suspicious,no,No,INAS,33,25 - 34,B,M,OF,Consent,D,Search WITHOUT Stop-Frisk,Nov
2012-11-27,2012,1501,201207449,76,NO ACTION,NA,C11,400 GARRETT ST,Suspicious,no,No,INAS,43,35 - 44,B,M,OF,Consent,D,Search WITHOUT Stop-Frisk,Nov
2012-11-27,2012,1338,201207446,62,NO ACTION,NA,C20,434 MEADE AVE,Disorder,no,No,INAS,38,35 - 44,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Nov
2012-12-17,2012,1634,201207844,32,NO ACTION,NA,C26,1133 EMMET ST N,Suspicious,no,No,INAS,26,25 - 34,W,M,OF,Consent,S,Search WITHOUT Stop-Frisk,Dec
2012-12-29,2012,2143,201208030,97,NO ACTION,NA,C06,601 PRESTON AVE,Larceny,no,No,INAS,28,25 - 34,B,M,IO,All Other,D,Search WITHOUT Stop-Frisk,Dec
2013-01-08,2013,1207,201300137,90,NO ACTION,NA,C09,1000 E MARKET ST,Warrant Service,no,No,INAS,19,18 - 24,B,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Jan
2013-01-13,2013,209,201300238,26,NO ACTION,NA,C04,852 MAIN ST,Suspicious,no,No,INAS,UKN,UNK,B,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Jan
2013-01-13,2013,209,201300238,26,NO ACTION,NA,C04,852 MAIN ST,Suspicious,no,No,INAS,26,25 - 34,W,M,OF,Consent,S,Search WITHOUT Stop-Frisk,Jan
2013-01-16,2013,1102,201300325,313,NO ACTION,NA,C03,215 5TH ST SW,Suspicious,Warrant for Failure to Appear,No,CBAD,45,45 - 54,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Jan
2013-01-29,2013,1624,201300601,76,NO ACTION,NA,C02,800 E MARKET ST,Traffic Stop,no,No,INAS,47,45 - 54,W,F,IO,All Other,S,Search WITHOUT Stop-Frisk,Jan
2013-01-29,2013,1624,201300601,76,NO ACTION,NA,C02,800 E MARKET ST,Traffic Stop,no,No,INAS,50,45 - 54,W,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Jan
2013-03-09,2013,9,201301353,69,NO ACTION,NA,C01,109 W MAIN ST,Disorder,no,No,INAS,37,35 - 44,B,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Mar
2013-03-09,2013,9,201301353,69,NO ACTION,NA,C01,109 W MAIN ST,Disorder,no,No,INAS,UKN,UKN,B,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Mar
2013-03-11,2013,1200,201301401,62,ACTION,NA,C10,1200 CARLTON AVE,Suspicious,no,No,INAS,18,18 - 24,W,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Mar
2013-03-11,2013,1200,201301401,62,ACTION,NA,C10,1200 CARLTON AVE,Suspicious,no,No,INAS,20,18 - 24,W,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Mar
2013-03-25,2013,1532,201301678,62,NO ACTION,NA,C10,400 GARRETT ST,Suspicious,no,No,INAS,18,18 - 24,W,M,OF,Consent,S,Search WITHOUT Stop-Frisk,Mar
2013-03-25,2013,1532,201301678,62,NO ACTION,NA,C10,400 GARRETT ST,Suspicious,no,No,INAS,22,18 - 24,W,M,OF,Consent,S,Search WITHOUT Stop-Frisk,Mar
2013-04-05,2013,2339,201301900,69,NO ACTION,NA,C01,100 2ND ST NE,Disorder,no,No,INAS,UKN,UKN,W,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Apr
2013-04-05,2013,2339,201301900,69,NO ACTION,NA,C01,100 2ND ST NE,Disorder,no,No,INAS,24,18 - 24,W,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Apr
2013-04-05,2013,2339,201301900,69,NO ACTION,NA,C01,100 2ND ST NE,Disorder,no,No,INAS,28,25 - 34,W,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Apr
2013-04-07,2013,1856,201301942,69,NO ACTION,NA,C04,810 HARDY DR,Trespass,no,No,INAS,18,18 - 24,B,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Apr
2013-04-07,2013,1856,201301942,69,NO ACTION,NA,C04,810 HARDY DR,Trespass,no,No,INAS,21,18 - 24,B,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Apr
2013-05-26,2013,30,201302963,87,NO ACTION,NA,C12,751 RIDGE ST,Suspicious,no,No,INAS,42,35 - 44,B,M,IO,All Other,D,Search WITHOUT Stop-Frisk,May
2013-06-14,2013,2012,201303353,69,NO ACTION,NA,C02,801 E MARKET ST,Disorder,no,No,INAA,19,18 - 24,B,M,OF,Consent,D,Search WITHOUT Stop-Frisk,June
2013-06-28,2013,2255,201303643,69,NO ACTION,NA,C03,800 W MAIN ST,Larceny,no,No,EXCB,34,25 - 34,B,M,IO,Consent,D,Search WITHOUT Stop-Frisk,June
2013-06-28,2013,2255,201303643,69,NO ACTION,NA,C03,800 W MAIN ST,Larceny,no,No,EXCB,46,45 - 54,B,M,OF,Consent,D,Search WITHOUT Stop-Frisk,June
2013-07-05,2013,155,201303768,46,NO ACTION,NA,C16,1521 UNIVERSITY,Disorder,Drunk in Public,No,CBAD,24,18 - 24,B,M,OF,All Other,S,Search WITHOUT Stop-Frisk,July
2013-07-05,2013,155,201303768,46,NO ACTION,NA,C16,1521 UNIVERSITY,Disorder,No,No,CBAD,26,25 - 34,B,M,OF,All Other,S,Search WITHOUT Stop-Frisk,July
2013-07-06,2013,230,201303794,58,NO ACTION,NA,C02,801 E MARKET ST,Assault,Assault,No,CBAD,21,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,July
2013-07-06,2013,230,201303794,58,NO ACTION,NA,C02,801 E MARKET ST,Assault,no,No,CBAD,25,25 - 34,B,M,IO,All Other,D,Search WITHOUT Stop-Frisk,July
2013-07-06,2013,230,201303794,58,NO ACTION,NA,C02,801 E MARKET ST,Assault,no,No,CBAD,26,25 - 34,B,M,IO,All Other,D,Search WITHOUT Stop-Frisk,July
